Id,SeedId,复投次数,调温最大亮度值,稳定时间,引晶开始CCD亮度值,引晶稳定CCD亮度差值,引晶熔接CCD差值,引晶开始结束CCD差值,引晶后50长拉速,引晶平均拉速,放肩高度,放肩降温量,等径长度
7230,220901341-111,1,68.75,37,58.05,-2.32,-8.23,-0.05,4.57,4.55,145.64,7.01,1
7232,220901271-114,1,63.25,48,52.73,-3.66,-9.34,-0.36,5.19,4.87,123.65,6.9,1
7233,220801091-521,5,64.12,36,52.15,-4.6,-9.41,-0.48,4.5,4.05,121.26,7.1,1
7234,220900982-112,1,62.3,43,51.72,-3.55,-7.55,-0.56,5.49,5.08,121.63,6.34,1
7235,220901252-111,1,51.94,57,42.88,-2.5,-7.31,-0.01,4.51,4.51,126.72,6.51,1
7236,220801142-613,6,59.6,27,48.52,-2.69,-6.58,-0.93,4.84,4.98,121.9,6.53,1
7237,220901121-113,1,60.28,38,48.23,-3.05,-6.5,-0.61,4.92,4.82,158,7.5,1
7238,220801181-521,5,58.79,38,49.25,-4.66,-8.53,-1.42,4.51,3.99,122.42,6.5,1
7239,220901391-211,2,66.82,33,55.64,-2.82,-9.63,-1.11,4.55,4.11,123.75,6.53,1
7240,220801332-621,6,64.42,34,53.75,-3.43,-7.88,-0.18,4.24,4.51,165.89,7.01,1
7241,220801442-711,7,60.3,48,50.96,-2.27,-8.71,0.03,4.69,4.01,132.7,6.53,1
7242,220801432-611,6,66.18,31,53.21,-2.54,-9.44,0.59,3.98,3.91,130.05,6.82,1
7243,220901371-211,2,61.63,35,50.07,-2.5,-7.64,-0.68,4.83,4.4,136.63,8.54,1
7244,220901101-313,3,56.98,32,47.73,-2.55,-6.84,-0.52,5.04,4.32,129.13,6.51,1
7245,220901111-313,3,55.31,25,47.16,-1.97,-6.99,-0.91,4.69,4.56,158.58,8.05,1
7246,220901011-411,4,62.59,72,52.02,-3.1,-6.81,-0.45,5.16,4.82,140.35,8,1
7247,220901001-211,2,63.34,31,51.65,-2.11,-8.85,0.46,3.89,3.86,148.89,7.82,1
7248,220901261-311,3,60.36,68,51.6,-3.6,-8.52,-0.07,6.05,5.16,125.69,6.53,1
7249,220901351-311,3,52.51,49,45.22,-1.87,-6.05,-0.94,5.1,4.8,129.9,7.1,1
7250,220901021-421,4,58.86,47,50.09,-2.62,-7.49,-0.55,5.32,5.56,138.29,7.8,1
7251,220801382-512,5,81.54,32,68.29,-4.03,-11.36,-1.1,6.05,5.4,143.15,8.51,1
7252,220801192-611,6,55.64,23,44.83,-2.05,-7.04,-0.31,4.12,4.2,129.09,6.51,1
7253,220901241-231,2,62.28,12,51.52,-3.07,-7.9,-1.25,5.89,5.41,123.37,6.54,1
7254,220901171-511,5,68.3,56,57.49,-2.36,-9.2,-0.15,4.54,4.88,129.21,6.04,1
7255,220901391-111,1,69.44,37,55.1,-3.39,-9.93,-0.77,5.62,5.29,122.4,6.52,1
7256,220801401-541,5,69.12,8,55.72,-3.6,-8.83,-2.84,5.99,5.67,105.41,5.75,1
7257,220900971-331,3,74.46,16,64.15,-3.28,-8.7,-1.5,5.68,5.02,120.31,6.53,1
7258,220801232-514,5,58.67,24,47.36,-2.64,-8.59,0.11,3.36,3.7,130.91,7.04,1
7259,220801051-512,5,57.99,16,48.24,-2.32,-7.08,-1.37,4.29,5.24,111.46,6.35,1
7260,220801322-511,5,59.83,72,50.18,-2.66,-7.46,-0.76,4.92,5.3,128.1,6.51,1
7261,220901281-111,1,66.58,76,57.16,-3.16,-8.35,-0.44,4.77,4.32,134.12,6.53,1
7262,220901411-112,1,66.83,17,54.98,-2.08,-9.37,-1.15,5.1,5.01,132.12,6.57,1
7263,220801362-512,5,64.62,12,54.16,-2.59,-7.61,-1.55,5.56,5.36,130.38,6.55,1
7264,220901161-311,3,60.16,33,51.17,-2.51,-7.84,-0.39,4.78,4.97,125,6.37,1
7265,220801091-512,5,63.86,21,51.53,-3.23,-8.94,-0.67,5.69,5.38,121.35,6.8,1
7266,220801292-511,5,62.85,44,53.23,-2.31,-8.01,-0.85,4.64,4.26,137.68,7.31,1
7267,220901021-411,4,61.48,55,50.26,-2.54,-7.28,-0.68,4.32,4.55,135.43,7.52,1
7268,220801181-512,5,60.4,36,49.1,-2.85,-7.85,-0.47,3.91,3.99,143.08,6.9,1
7269,220801442-611,6,62.03,28,51.21,-2.11,-8.78,-0.34,5.17,4.53,132.01,7,1
7270,220801151-611,6,63.08,63,53.68,-2.3,-7.88,-0.29,4.08,4.19,130.16,6.55,1
7271,220901011-311,3,62.65,52,52.57,-2.28,-7.68,-0.97,4.94,4.55,137.71,8.01,1
7272,220901101-311,3,57.9,58,47.93,-2.33,-8.08,-0.35,4.7,4.31,129.15,6.52,1
7273,220801032-612,6,83.02,17,70.53,-3.83,-9.46,-0.41,5.35,5.24,130.89,7.97,1
7274,220801202-612,6,63.38,27,53.35,-2.78,-7.49,-1.08,5.15,4.81,126.2,6.9,1
7275,220801211-511,5,63.32,25,52.1,-2.31,-7.48,-0.86,5.24,5.33,125.67,6.03,1
7276,220801192-511,5,54.49,31,44.94,-2.02,-6.9,-0.72,5.57,4.97,129.84,6.54,1
7277,220901351-211,2,53.52,57,45.29,-1.83,-6.19,-0.29,4.51,4.52,139.66,7.1,1
7278,220801341-414,4,70.14,16,58.07,-2.22,-8.26,-0.77,5.04,4.81,133.04,7.01,1
7279,220901261-211,2,61.99,65,52.5,-2.66,-5.81,-0.18,4.52,4.96,128.2,6.54,1
7280,220901061-111,1,57.66,46,48.58,-2.52,-7.85,-0.62,5.6,4.89,124.59,6.53,1
7281,220801332-612,6,63.7,24,53.32,-3.23,-8.11,-0.89,5.57,5.38,131.71,6.79,1
7282,220801051-511,5,59.16,49,48.24,-2.37,-6.93,-0.66,5.39,4.79,125.69,6.51,1
7283,220901111-211,2,57.3,53,46.92,-2.23,-7.03,-0.49,4.92,4.58,154.37,8.02,1
7284,220801071-511,5,58.48,67,49.6,-2.06,-6.91,-0.29,5.03,4.87,130.63,6.4,1
7285,220901241-221,2,62.53,17,51.57,-2.95,-7.76,-0.46,5.16,4.6,132.61,7.3,1
7287,220801302-412,4,70.76,12,56.41,-2.71,-10.03,-1.15,6.28,6.02,139.38,11.3,1
7288,220801082-521,5,63.57,19,52.55,-3.14,-8.29,-0.57,4.57,4.38,131.13,6.8,1
7289,220800991-511,5,61.55,49,50.39,-2.31,-7.15,-0.53,4.18,3.72,125.32,7.3,1
7290,220901021-312,3,59.95,32,50.25,-2.49,-7.35,-0.91,5.5,5.17,136.12,7.53,1
7291,220900971-321,3,75.23,25,63.43,-3.96,-9.41,-1.11,5.74,5.66,121.04,6.52,1
7292,220801142-611,6,58.95,32,48.89,-2.4,-6.48,-1.16,4.12,4.12,122.59,6.6,1
7293,220801401-531,5,67.81,17,55.21,-3.66,-9.56,-1.03,4.89,4.72,127.69,7.4,1
7294,220901371-113,1,58.61,33,50.27,-2.27,-8.07,-0.96,5.08,4.59,139.08,8.5,1
7295,220801181-511,5,59.16,64,49.18,-2.7,-8,-0.59,4.89,4.25,131.56,6.52,1
7296,220901421-311,3,59.82,33,49.01,-1.86,-7.47,-0.06,4.92,4.77,125,7.02,1
7297,220901101-211,2,59.05,54,47.89,-2.63,-5.09,-0.48,4.91,4.55,126.38,6.51,1
7298,220801432-511,5,67.71,38,53.13,-2.64,-9.79,0.88,4.52,4.74,133.86,6.54,1
7299,220801311-513,5,58.7,32,48.52,-3.16,-6.97,-0.67,5.7,5.32,138.03,8.7,1
7300,220801362-511,5,63.1,38,53.35,-2.44,-7.49,-0.62,5.95,5.19,129.41,6.54,1
7301,220901251-333,3,53.5,12,43.21,-2.32,-7.04,-0.91,5.84,5.5,115.35,6.63,1
7302,220801232-511,5,56.35,42,47.58,-1.92,-7.56,-0.14,4.49,4.82,130.96,7.3,1
7303,220901221-113,1,64.06,28,53.23,-4.12,-9.12,-1.5,5.47,5.09,115.24,6.28,1
7304,220801332-611,6,65.01,54,53.32,-3.25,-8.7,-0.23,4.52,4.62,141.81,7.1,1
7305,220801401-521,5,66.41,22,54.59,-3.29,-10.05,-0.63,4.85,4.57,127.24,7.1,1
7306,220901001-113,1,65.98,27,51.61,-2.05,-8.83,0,3.56,4.41,140.16,7.51,1
7307,220801281-423,4,70.59,24,56.63,-4.71,-8.73,-0.78,4.36,4.61,127.41,6.92,1
7308,220801151-511,5,66.52,55,53.78,-2.17,-7.9,-0.17,4.09,4.17,132.14,6.54,1
7309,220801411-511,5,55.65,20,54.4,-3.16,-9.89,-0.39,4.76,4.89,130.48,7.1,1
7310,220900971-312,3,75.25,26,64.07,-3.34,-9.19,-1.44,5.45,5.29,120.27,6.52,1
7311,220801142-511,5,58.12,34,49.21,-2.03,-6.25,-0.71,4.05,3.82,122.25,6.8,1
7312,220901241-213,2,60.7,22,51.7,-2.33,-7.43,-0.31,4.47,4.26,135.58,7.11,1
7313,220900981-233,2,65.54,26,52.41,-3.73,-8.33,-0.07,5.21,5.09,121.97,6.7,1
7314,220801292-411,4,66,26,53.09,-2.41,-8.27,-0.8,5.03,4.44,141.06,6.62,1
7315,220801391-513,5,69.56,12,56.78,-3.42,-9.05,-1.66,5.36,5.03,123.3,6.8,1
7316,220901021-311,3,60.29,46,50.56,-2.25,-6.91,-0.56,4.41,4.46,139.99,7.5,1
7317,220801442-511,5,61.94,24,51.31,-1.94,-8.5,-0.86,4.97,4.65,127.43,6.52,1
7318,220901351-112,1,55.27,50,45.45,-1.65,-5.94,-0.42,4.52,4.64,150.26,7.02,1
7319,220901171-412,4,69.71,62,57.3,-3.29,-9.24,-0.18,4.31,4.96,127,6.01,1
7320,220801032-511,5,81.47,17,70.65,-2.89,-9.26,-0.43,5.44,4.77,133,7.48,1
7321,220901261-113,1,56.96,61,54.02,-5.98,-6.44,-0.79,6.3,5.89,125.19,6.47,1
7322,220801121-412,4,59.47,11,48.35,-1.61,-7.97,-1.03,6.51,5.51,157.74,7.51,1
7323,220801051-411,4,57.91,41,48.42,-2.13,-6.83,-0.57,4.61,4.38,126.91,6.52,1
7324,220801091-411,4,63.42,41,51.97,-2.73,-7.83,-0.51,4.26,4.47,122.36,6.51,1
7325,220801322-411,4,61.37,39,50.6,-2.16,-7.23,-0.43,4.2,4.2,128.76,7,1
7326,220901011-211,2,60.77,66,52.7,-2.26,-7.11,-0.63,4.62,4.6,143.62,8.01,1
7327,220801082-512,5,64.6,19,52.61,-2.68,-7.66,-1.04,5.16,4,125.82,6.9,1
7328,220901161-211,2,61.12,64,51.2,-2.83,-8.1,-0.67,5.63,5.17,124.05,6.31,1
7329,220901241-212,2,59.79,22,51.59,-1.85,-7.34,-0.78,5.84,5.41,125.64,6.6,1
7330,220801382-412,4,81.92,29,68.45,-3.88,-10.72,-1.53,5.51,5.18,145.38,8.7,1
7331,220801272-521,5,62.6,30,53.53,-2.9,-8.36,0.32,4.97,4.39,123.52,7.2,1
7332,220801131-511,5,62.93,35,51.62,-3.14,-9.04,-0.27,5.24,5.23,134.01,6.56,1
7333,220801192-411,4,53.75,53,44.8,-2.18,-6.82,-0.38,4.37,4.26,133.08,6.52,1
7334,220801181-413,4,58.29,45,49.4,-3.01,-7.77,-0.75,5.76,4.97,139.21,7,1
7335,220801332-511,5,65.76,42,53.83,-2.58,-8.1,-0.36,4.27,4.15,134.09,7.01,1
7336,220801302-411,4,72.25,31,56.81,-1.76,-10.56,-0.83,4.75,4.33,147.51,10.74,1
7337,220900971-213,2,74.39,21,63.92,-3.4,-9.1,-1.15,5.47,5.28,120.76,6.52,1
7338,220801281-421,4,58.5,27,56.86,-3.12,-8.93,-0.1,4.02,3.99,144.33,6.6,1
7339,220801401-512,5,70.33,29,54.93,-2.95,-9.02,-1.2,5.54,4.99,124.66,6.5,1
7340,220801362-411,4,61.4,35,53.07,-2.52,-8.22,-0.33,5.03,4.95,133.88,6.87,1
7341,220901021-211,2,60.1,65,50.61,-2.18,-6.9,-0.63,4.57,4.6,139.15,7.51,1
7342,220901251-332,3,50.13,96,43.44,-2.64,-6.38,-0.11,3.36,3.74,132.87,7.02,1
7343,220901111-121,1,56.41,22,47.16,-2.02,-7.19,-0.82,5.35,4.63,156.97,8,1
7344,220801211-411,4,63.94,32,52.02,-2.33,-7.53,-0.71,4.5,4.27,129.28,6.03,1
7345,220801232-411,4,56.57,52,47.36,-2.09,-7.85,-0.45,5.31,4.72,126.7,7.01,1
7346,220801202-511,5,64.22,35,52.93,-2.67,-7.58,-0.23,4.85,4.25,127.28,6.8,1
7347,220801071-411,4,59.36,48,49.52,-2.15,-7.13,-0.11,3.58,3.85,131.97,6.31,1
7348,220901101-111,1,57.39,48,48.13,-2.46,-7.82,-0.58,4.75,4.24,128.03,6.52,1
7349,220801082-511,5,58.87,65,52.28,-2.51,-7.16,-0.22,5.15,4.85,133.73,6.53,1
7350,220801391-512,5,68.02,27,55.9,-3.03,-9.07,-0.53,5.35,4.87,123.93,6.8,1
7351,220800991-421,4,58.93,26,50.43,-2.22,-7.12,-0.34,5.16,4.78,135.06,6.93,1
7352,220801221-421,4,66.78,24,53.13,-4.04,-10.58,-1.86,5.52,4.73,121.3,6.24,1
7353,220801341-411,4,61.37,35,58.21,-2.22,-7.84,-0.62,4.72,4.61,142.93,7.02,1
7354,220900981-231,2,60.95,33,52.23,-3.57,-8.42,0.08,4.32,4.26,126.1,6.52,1
7355,220801432-411,4,66.43,32,52.85,-3.01,-9.92,0.77,4.69,4.78,127.41,6.54,1
7356,220901421-214,2,58.48,40,48.85,-2.34,-7.35,0.3,4.48,4.03,125.95,7.4,1
7357,220801142-411,4,58.97,66,48.66,-2.77,-7.09,-0.97,5.2,4.88,121.13,6.52,1
7358,220901241-111,1,59.06,64,51.44,-2.68,-7.15,-0.29,5.31,4.82,126.12,6.54,1
7359,220801061-421,4,59.84,11,49.79,-2.7,-7.81,-1.39,4.85,4.88,126.2,6.73,1
7360,220801332-411,4,64.43,33,53.36,-3.19,-8.12,-0.23,4.85,4.59,136.72,6.82,1
7361,220801401-412,4,68.14,21,55,-3.35,-9.76,-1.89,5.84,5,114.36,6.51,1
7362,220901251-322,3,52.04,61,43.39,-2.91,-7.37,0.23,3.99,4.05,133.38,6.51,1
7363,220801151-412,4,63.7,45,53.45,-2.49,-8.32,-0.81,5.78,5.33,126.38,6.52,1
7364,220801411-411,4,65.32,27,54.31,-3.24,-8.01,-0.75,5.25,5.03,123.67,6.43,1
7365,220801281-411,4,70.1,43,56.76,-3.13,-9.04,-1.15,4.93,4.38,129.28,6.53,1
7366,220801302-321,3,70.31,19,56.68,-1.85,-9.89,-0.83,5.07,4.83,142.07,11.03,1
7367,220801292-311,3,62.57,51,53.15,-2.39,-8.14,-0.6,4.33,3.99,142.01,7,1
7368,220901171-312,3,69.7,32,57.33,-3.21,-9.29,-0.64,4.5,4.62,127.06,6.02,1
7369,220801442-412,4,58.13,18,51.17,-1.99,-8.99,-0.94,5.58,4.82,126.4,6.51,1
7370,220801032-411,4,83.81,20,68.27,-3.34,-9.52,-0.83,5.15,4.69,131.86,7.55,1
7371,220900981-221,2,60.67,36,52.11,-3.21,-8.35,-0.16,5.19,4.71,124.53,6.8,1
7372,220801272-511,5,63.49,36,53.14,-2.75,-8.38,-0.15,5.01,5.22,122.79,7.6,1
7373,220901011-121,1,63.58,51,52.7,-2.33,-7.21,-0.76,5.29,5.1,140.35,7.99,1
7374,220801311-411,4,59.86,27,48.62,-2.53,-7.69,-1.54,5.64,5.41,132.89,7.91,1
7375,220900971-121,1,77.02,16,64.55,-3.18,-8.03,-1.57,5.62,5.29,121.09,6.34,1
7376,220801091-311,3,63.35,54,51.85,-3.38,-8.44,-0.3,4.82,4.75,122.14,6.51,1
7377,220801322-311,3,59.86,53,50.39,-2.58,-7.52,-0.49,4.98,4.65,129.86,7.09,1
7378,220901111-111,1,55.99,49,46.98,-2.19,-7.25,-0.68,5.2,4.76,161.21,8.02,1
7379,220801051-311,3,57.95,40,48.3,-2.27,-7.03,-0.45,4.32,4.25,125.49,6.53,1
7380,220801082-411,4,62.13,38,52.46,-2.43,-8.1,-0.44,3.96,4.31,134.4,6.51,1
7381,220801131-411,4,61.13,52,52.49,-2.32,-7.5,0.2,4.42,4.87,156.95,7.03,1
7382,220801221-412,4,68.6,26,52.43,-3.6,-9.69,-0.86,6.44,5.85,132.89,6.52,1
7383,220801341-312,3,67.78,25,58.21,-2.55,-8.01,-0.5,4.23,4.89,137.64,7.03,1
7384,220901161-112,1,61.77,63,51.3,-3.79,-7.57,-0.03,4.87,4.53,132.07,6.65,1
7385,220801192-311,3,52.72,49,44.86,-2.07,-6.94,-0.31,3.72,3.99,130.25,6.5,1
7386,220901021-111,1,59.53,19,50.8,-1.81,-6.84,-0.53,4.43,4.24,137.75,7.5,1
7387,220801391-411,4,67.8,49,56.39,-2.34,-9.27,-0.49,4.87,4.21,128.98,6.8,1
7388,220900981-212,2,65.92,38,52.21,-3.07,-8.09,-0.18,4.56,4.49,122.12,6.51,1
7389,220800991-411,4,59.42,32,50.39,-2.22,-7.09,-0.45,4.69,4.25,131.41,7.03,1
7390,220901251-311,3,52.68,56,44.27,-2.18,-6.58,0.16,5.73,5.14,125.88,7,1
7391,220801232-322,3,56.25,27,47.47,-1.99,-7.52,-0.18,5.37,4.9,129.34,7.01,1
7392,220801372-251,2,62.29,24,50.08,-4.02,-8.28,-1.27,6.29,5.42,135,9.1,1
7393,220801362-311,3,63.16,48,53.89,-1.63,-7.55,-0.53,4.41,4.48,152.84,7.22,1
7394,220801142-312,3,57.39,42,49.11,-2.35,-6.95,-1.03,4.89,4.62,122.68,6.8,1
7395,220801002-332,3,53.05,28,52.14,-3.63,-9.32,-1.1,4.64,3.98,136.82,7.92,1
7396,220801061-411,4,59.53,39,49.39,-1.53,-7.36,0,3.95,3.94,144.5,7.2,1
7397,220801181-313,3,58.78,40,49.61,-2.85,-8.25,-0.87,4.86,4.11,134.31,6.54,1
7398,220801211-312,3,61.72,25,52.2,-2.08,-7.56,-0.71,5.03,4.8,130.57,6.5,1
7399,220801281-311,3,67.64,70,56.71,-3.75,-9.7,-0.96,5.38,4.89,126.42,6.53,1
7400,220801261-311,3,63.44,45,52.99,-5.01,-9.78,-0.43,4.34,4.26,127.39,7.5,1
7401,220801382-312,3,77.24,29,68.31,-4.18,-10.59,-1.07,5.38,5.17,151.12,9.2,1
7402,220801121-311,3,61.49,38,47.97,-2.53,-8.24,-0.45,4.36,3.98,157.36,7.52,1
7403,220801202-411,4,63.14,76,53.14,-2.94,-7.53,-0.42,4.85,4.62,128.27,6.8,1
7404,220801332-311,3,64.94,26,53.52,-2.92,-7.91,-0.57,4.89,4.58,132.07,6.56,1
7405,220801071-311,3,59.51,51,49.71,-1.93,-6.94,-0.25,4.7,4.71,132.03,6.4,1
7406,220900971-111,1,75.09,23,64.94,-2.72,-7.67,-0.96,5.52,5.05,119.54,6.23,1
7407,220801351-312,3,53.19,50,45.24,-1.85,-6,-0.31,4.46,4.75,147.7,7.02,1
7408,220801272-411,4,63.19,43,53.34,-2.63,-8.54,-0.22,4.47,4.57,125.04,6.53,1
7409,220901251-213,2,52.84,51,43.92,-2.51,-6.84,-0.59,4.3,4.06,130.78,6.52,1
7410,220800991-311,3,52.44,47,50.01,-2.63,-7.47,-0.76,5.99,5.69,120.1,6.35,1
7411,220801242-311,3,62.95,49,50.88,-3.32,-7.83,-0.23,5.55,5.6,124.14,6.51,1
7412,220801432-311,3,66.41,42,52.93,-2.82,-9.95,0.7,5.37,4.72,126.89,6.53,1
7413,220900981-121,1,63.58,29,52.46,-3.31,-7.86,-0.33,5.26,4.86,125.09,6.8,1
7414,220801111-331,3,60.05,60,47.12,-2.53,-7.18,-0.47,4.13,4.34,155.27,8.02,1
7415,220901011-111,1,60.83,38,52.33,-1.86,-7.57,-0.89,6.09,5.17,136.37,7.87,1
7416,220801411-322,3,66.45,14,54.61,-2.9,-9.82,-1.08,5.88,5.57,120.23,6.24,1
7417,220801311-311,3,58.41,43,48.14,-2.96,-8.25,-0.98,5.58,4.68,137.19,8.41,1
7418,220901421-111,1,57.08,53,49.21,-0.49,-7.02,-0.48,6.29,5.56,123.8,7.03,1
7419,220801102-331,3,49.15,16,48.33,-2.22,-7.5,-0.8,6,5.58,126.29,6.51,1
7420,220801221-311,3,65.56,28,52.86,-3.32,-9.62,-0.86,5.67,5.15,122.42,6.53,1
7421,220801032-311,3,83.51,33,67.84,-3.63,-10.09,0.04,5.24,5.07,131.43,7.52,1
7422,220801292-211,2,65.44,48,53.15,-2.46,-8.5,-0.43,4.57,4.6,140.26,7,1
7423,220801401-311,3,67.3,40,55.43,-3.21,-8.62,-1.21,4.69,4.56,126.22,6.53,1
7424,220801372-241,2,59.18,27,49.69,-2.87,-7.84,-0.69,5.03,5.23,142.93,8.9,1
7425,220801151-311,3,65.03,39,54.04,-1.89,-7.59,-0.49,4.78,4.2,133.06,6.54,1
7426,220801002-323,3,54.21,21,51.74,-2.69,-8.33,-0.53,5.03,5.34,139.47,8.7,1
7427,220901171-211,2,69.23,52,58,-2.85,-8.73,0.22,4.55,4.44,129.43,6.03,1
7428,220900981-112,1,61.67,23,52.72,-2.56,-7.52,-0.27,4.44,4.56,123.58,6.54,1
7429,220801061-311,3,61.26,29,48.91,-2.29,-8.34,0.26,5.2,5.12,129.69,6.5,1
7430,220801442-311,3,61.62,61,50.67,-3.24,-9.59,0.04,5.16,5.02,128.33,6.8,1
